created_at,hashtags,favorite_count,id,lang,retweet_count,reweet_id,retweet_screen_name,text,tweet_url,user_screen_name,user_followers_count,user_friends_count,user_location,user_verified
Thu Apr 23 00:00:47 +0000 2020,,9,1253111541131554816,en,4,,,"""If the Crosstown model appears to be working  as in keeping people alive, improving their health, reducing their need to commit crime and putting them in a space to get jobs  then why isnt the program more widespread in B.C.?""

https://t.co/bBjzpHU9Tn",https://twitter.com/pivotlegal/status/1253111541131554816,pivotlegal,17756,6431,"Vancouver, BC",false
Thu Apr 23 00:00:54 +0000 2020,,0,1253111570336448512,en,0,,,"With bars, boutiques, restaurants and salons closed due to the COVID-19 pandemic, many Canadians lucky enough to still have an income of any kind are discovering they're actually saving money. https://t.co/VVdv0CEpks https://t.co/bc1or6GqoS",https://twitter.com/BrendaPowell317/status/1253111570336448512,BrendaPowell317,33,96,"Edmonton, Alberta, Canada",false
Thu Apr 23 00:00:54 +0000 2020,,0,1253111570797932544,en,0,,,Go check out TheRealCouRageJD's fundraiser for CDC Foundation on @WeAreTiltify | https://t.co/RHG0gzSmyI,https://twitter.com/dexterstewart19/status/1253111570797932544,dexterstewart19,2,99,"Kingston, Ontario",false
Thu Apr 23 00:01:06 +0000 2020,yql lethbridge,1,1253111621230174208,en,0,,,Visit https://t.co/jTl5kl5mhD for updates on our response to COVID-19 and changes to service. #yql #lethbridge https://t.co/JmXSknAZJZ,https://twitter.com/LethLib/status/1253111621230174208,LethLib,2999,458,"Lethbridge, Alberta",false
Thu Apr 23 00:01:11 +0000 2020,refugee,8,1253111641639616513,en,0,,,"Thanks to @theGRSI for bringing us together. Seeing everyone from near and far is a great reminder of how #refugee sponsorship builds communities, large and small, IRL and online. https://t.co/x2gthtMA4U",https://twitter.com/louisaINK/status/1253111641639616513,louisaINK,3409,2926,Ottawa,false
Thu Apr 23 00:01:12 +0000 2020,,0,1253111646827900928,en,0,,,"After listening to him speak, I get why people are supporting @JoeBiden  https://t.co/KUqoIR4IQI",https://twitter.com/TonkatsuBC/status/1253111646827900928,TonkatsuBC,113,156,"Marpole, Vancouver",false
Thu Apr 23 00:01:31 +0000 2020,ableg abpoli,2,1253111725517180929,en,0,,,"Honestly, how do you have a job? Same old tired opinion column over and over. How about take a look at the unbelievable losing streak your pals in the @UCPCaucus are having due to their constant blunders? #ableg #abpoli https://t.co/cboDw4hzWm",https://twitter.com/gregkushnir/status/1253111725517180929,gregkushnir,695,534,Edmonton,false
Thu Apr 23 00:01:41 +0000 2020,,2,1253111767758245888,en,0,,,"Bloomberg News: Italy posted the most new Covid-19 cases in four days. Irish infections rose after three days of declining numbers. Singapore reported more than 1,000 new cases for the third day in a row. U.S. cases rose 3.1% from the day before to 835,000.",https://twitter.com/dave1agar/status/1253111767758245888,dave1agar,4018,2266,"Toronto, Canada",false
Thu Apr 23 00:01:42 +0000 2020,,0,1253111771906355201,en,0,,,@DrTedros  Which animal? From Dr. Tedros ? https://t.co/x2yTAIUWPQ,https://twitter.com/YoungdoungT/status/1253111771906355201,YoungdoungT,18,137,"Toronto, Ontario",false
Thu Apr 23 00:01:43 +0000 2020,,1,1253111776360579072,en,0,,,@robksg3 We had an outbreak in LaLoche as well.. someone travelled to N Ab and brought it back it sounds like.  There are more cases in N Sk than in Regina area.. but our active cases are declining daily now.. hopefully it continues,https://twitter.com/Spicoli11/status/1253111776360579072,Spicoli11,589,409,"Watrous, Sk",false
